Timestamp,Milliseconds,X,Y,Z
2019-11-02 21:19:36,2,0.73921204,3.1817017,9.149292
2019-11-02 21:19:36,11,2.3720703,5.8536377,8.852402
2019-11-02 21:19:36,21,2.082367,6.318115,10.66243
2019-11-02 21:19:36,32,1.5221252,6.064331,11.272949
2019-11-02 21:19:36,41,0.0927887,5.384369,11.136475
2019-11-02 21:19:36,51,0.7224579,5.1066437,10.250626
2019-11-02 21:19:36,62,1.1127167,4.9270782,8.988876
2019-11-02 21:19:36,71,2.2044678,4.309372,7.9665527
2019-11-02 21:19:36,81,2.458252,4.0891113,8.579468
2019-11-02 21:19:36,91,2.5995178,3.9406738,8.969727
2019-11-02 21:19:36,102,1.7567596,3.9550323,9.889099
2019-11-02 21:19:36,112,0.98342896,4.539215,10.841995
2019-11-02 21:19:36,122,0.7320404,5.015671,11.043106
2019-11-02 21:19:36,131,0.97624207,5.274246,10.796494
2019-11-02 21:19:36,141,2.2595367,5.6405487,9.532364
2019-11-02 21:19:36,151,3.7822418,6.234314,8.421448
2019-11-02 21:19:36,162,4.3616486,6.684433,7.229141
2019-11-02 21:19:36,171,3.8061981,7.0627136,6.326523
2019-11-02 21:19:36,182,2.0775757,6.701187,6.6856537
2019-11-02 21:19:36,191,1.2707367,6.3707886,8.074295
2019-11-02 21:19:36,201,0.40403748,5.609436,8.749451
2019-11-02 21:19:36,211,0.09039307,5.056366,8.675232
2019-11-02 21:19:36,222,0.4758606,5.116226,7.7319183
2019-11-02 21:19:36,231,0.92836,5.221573,7.2578735
2019-11-02 21:19:36,242,-0.24479675,5.360428,6.089493
2019-11-02 21:19:36,251,-8.983627,5.245514,8.268219
2019-11-02 21:19:36,261,-10.738586,5.5878754,11.878677
2019-11-02 21:19:36,271,-1.5711823,4.2279816,15.161133
2019-11-02 21:19:36,286,-0.012557983,3.4857788,16.913681
2019-11-02 21:19:36,291,-1.3150024,4.9390564,17.749268
2019-11-02 21:19:36,302,-1.9781952,6.87117,16.600037
2019-11-02 21:19:36,312,-1.5711823,7.3117065,12.958466
2019-11-02 21:19:36,321,-1.051651,7.254242,11.418991
2019-11-02 21:19:36,331,1.8190002,7.5798645,11.363922
2019-11-02 21:19:36,341,4.8476715,7.587036,13.461243
2019-11-02 21:19:36,352,3.9905396,7.6995697,14.703842
2019-11-02 21:19:36,361,2.6330261,7.278183,14.155563
2019-11-02 21:19:36,371,1.3688965,5.5878754,13.044647
2019-11-02 21:19:36,382,0.64105225,3.0811462,10.698334
2019-11-02 21:19:36,391,0.6889343,2.5711823,9.795715
2019-11-02 21:19:36,401,0.7871094,2.7627258,10.348785
2019-11-02 21:19:36,412,-0.3118286,3.5911102,9.628128
2019-11-02 21:19:36,421,0.052078247,3.4259186,8.471725
2019-11-02 21:19:36,431,1.5747986,4.072357,6.913101
