Timestamp,Milliseconds,X,Y,Z
2019-11-02 21:22:29,5,-0.058044434,1.9989777,11.165207
2019-11-02 21:22:29,13,-0.7092743,2.003769,8.955353
2019-11-02 21:22:29,24,-1.8106079,2.439499,8.012039
2019-11-02 21:22:29,33,-1.7914581,2.724411,8.6082
2019-11-02 21:22:29,43,-1.0037537,2.961441,9.891495
2019-11-02 21:22:29,53,-0.3764801,2.9542542,10.442154
2019-11-02 21:22:29,64,0.44233704,2.8441315,11.241821
2019-11-02 21:22:29,73,1.2659454,3.0260925,11.976837
2019-11-02 21:22:29,83,1.8597107,3.3899994,12.3647
2019-11-02 21:22:29,94,2.300232,3.4857788,12.28569
2019-11-02 21:22:29,103,2.3768463,3.447464,11.703903
2019-11-02 21:22:29,113,2.051239,3.337326,10.868332
2019-11-02 21:22:29,125,1.1007385,3.0117188,10.138092
2019-11-02 21:22:29,133,0.2819214,2.8321533,9.664047
2019-11-02 21:22:29,143,-0.0029907227,2.8632812,9.443771
2019-11-02 21:22:29,154,0.5404968,2.7028656,8.031189
2019-11-02 21:22:29,163,2.15419,2.6382294,8.249069
2019-11-02 21:22:29,174,1.8453369,3.1457977,9.127747
2019-11-02 21:22:29,183,1.5939484,3.1769257,8.885925
2019-11-02 21:22:29,193,1.3138275,3.4043732,9.225906
2019-11-02 21:22:29,203,1.4000244,3.629425,9.446167
2019-11-02 21:22:29,213,1.32341,3.605484,9.5898285
2019-11-02 21:22:29,226,1.2707367,3.416336,9.671219
2019-11-02 21:22:29,233,1.4239655,3.028473,9.687988
2019-11-02 21:22:29,244,1.407196,2.743576,9.721497
2019-11-02 21:22:29,253,1.5149384,2.537674,9.616165
2019-11-02 21:22:29,264,1.5340881,2.5496368,9.240265
2019-11-02 21:22:29,273,1.4742432,2.6430206,9.268997
2019-11-02 21:22:29,284,1.3521271,2.7627258,8.660873
2019-11-02 21:22:29,293,1.1151123,3.0069275,8.361603
2019-11-02 21:22:29,303,0.7823181,3.1386108,7.983307
2019-11-02 21:22:29,314,0.5237427,3.526474,7.6170044
2019-11-02 21:22:29,326,0.35853577,3.8137817,7.727127
2019-11-02 21:22:29,333,0.21009827,4.019684,7.916275
2019-11-02 21:22:30,344,0.5237427,4.012497,7.990494
2019-11-02 21:22:30,353,0.77033997,3.854477,7.806137
2019-11-02 21:22:30,364,0.952301,3.7539215,7.679245
2019-11-02 21:22:30,373,1.0648346,3.7180176,7.794174
2019-11-02 21:22:30,383,1.32341,3.5456238,7.9617615
2019-11-02 21:22:30,394,1.517334,3.3469086,7.79657
2019-11-02 21:22:30,403,1.2731323,3.320572,7.923462
2019-11-02 21:22:30,413,0.6602173,3.4594421,8.069504
2019-11-02 21:22:30,424,0.5476837,3.7347717,8.809311
2019-11-02 21:22:30,433,1.0935669,4.017288,9.158859
2019-11-02 21:22:30,443,1.0121613,4.048416,10.241043
2019-11-02 21:22:30,454,1.2324219,3.6557617,11.220276
2019-11-02 21:22:30,464,1.3808594,3.131424,12.113312
2019-11-02 21:22:30,473,1.1151123,2.8130035,12.376678
2019-11-02 21:22:30,483,1.1582031,2.9758148,12.367096
2019-11-02 21:22:30,494,1.2970734,3.258316,11.663193
2019-11-02 21:22:30,503,1.2444,3.794632,10.91861
2019-11-02 21:22:30,514,0.97384644,4.2878265,9.788544
2019-11-02 21:22:30,523,0.5548706,4.146576,9.573059
2019-11-02 21:22:30,534,-0.27592468,3.5073242,10.152466
2019-11-02 21:22:30,543,-1.1450195,2.8656769,11.093384
2019-11-02 21:22:30,553,-1.1138916,2.5783691,10.887482
2019-11-02 21:22:30,564,-1.2838745,2.5783691,10.451736
2019-11-02 21:22:30,573,-1.1282654,2.6047058,9.819672
2019-11-02 21:22:30,583,-0.32141113,2.7363892,9.324066
2019-11-02 21:22:30,594,0.6434479,2.9398956,9.546722
2019-11-02 21:22:30,603,1.6442261,2.9375,10.830017
2019-11-02 21:22:30,614,1.8956146,2.9758148,11.665588
2019-11-02 21:22:30,623,0.9211731,3.2080383,12.62088
2019-11-02 21:22:30,634,0.4543152,3.6150665,13.0733795
2019-11-02 21:22:30,643,-0.759552,2.8944092,12.446106
2019-11-02 21:22:30,653,-0.5751953,3.2391663,10.990433
2019-11-02 21:22:30,664,0.21728516,4.3500824,10.0112
2019-11-02 21:22:30,673,0.7823181,4.2950134,11.294495
2019-11-02 21:22:30,684,0.26516724,2.7651215,12.60173
2019-11-02 21:22:30,693,-0.601532,1.5368958,14.119644
2019-11-02 21:22:30,704,-0.79307556,1.0412903,16.003891
2019-11-02 21:22:30,713,-0.6685791,1.1011505,16.865799
2019-11-02 21:22:30,723,-0.28311157,1.704483,16.011078
2019-11-02 21:22:30,733,-1.2024841,2.2838898,13.585739
2019-11-02 21:22:30,744,-2.6988525,3.047638,10.482864
2019-11-02 21:22:30,753,-3.2088165,3.2487488,9.345612
2019-11-02 21:22:30,763,-3.6134338,3.478592,8.699173
2019-11-02 21:22:30,774,-2.7132263,3.4522552,8.66806
2019-11-02 21:22:30,783,-0.9079895,2.6861115,8.58905
2019-11-02 21:22:30,793,-0.50816345,2.1498108,9.388702
2019-11-02 21:22:30,804,-0.7308197,1.8529205,10.549896
2019-11-02 21:22:30,813,-0.7212372,1.8433533,9.472504
2019-11-02 21:22:30,824,-0.0843811,1.972641,8.948181
2019-11-02 21:22:30,833,0.5883789,1.9893951,8.210754
2019-11-02 21:22:30,843,0.9355469,2.0420685,7.557144
2019-11-02 21:22:30,854,1.2898865,2.0660095,6.9418335
2019-11-02 21:22:30,863,1.735199,2.3605042,6.113434
2019-11-02 21:22:30,874,1.790268,2.5687866,6.108658
2019-11-02 21:22:30,883,1.7088776,2.585556,6.132599
2019-11-02 21:22:30,894,1.462265,2.6430206,6.4246826
2019-11-02 21:22:30,903,0.84695435,2.1498108,7.9138794
2019-11-02 21:22:30,914,0.5859833,1.5727997,9.158859
2019-11-02 21:22:30,923,0.631485,1.3501434,9.565872
2019-11-02 21:22:30,933,0.94033813,1.4123993,9.393494
2019-11-02 21:22:30,944,0.45669556,1.2400055,7.722351
2019-11-02 21:22:30,954,0.47825623,2.2551575,7.315323
